agent,action,count,agent_total,share
ppo,roll,8185,52144,0.156969
ppo,end_main_action,8107,52144,0.155473
ppo,end_turn,7953,52144,0.15252
ppo,propose_trade,6200,52144,0.118902
ppo,counter_trade,6037,52144,0.115776
ppo,build_road,3161,52144,0.060621
ppo,reject_trade,2310,52144,0.0443
ppo,accept_trade,2075,52144,0.039794
ppo,build_settlement,2010,52144,0.038547
ppo,skip_trade,1866,52144,0.035786
ppo,bank_trade,1847,52144,0.035421
ppo,move_robber,1314,52144,0.025199
ppo,buy_dev_card,506,52144,0.009704
ppo,play_dev_card,334,52144,0.006405
ppo,discard_cards,189,52144,0.003625
ppo,build_city,50,52144,0.000959
random_no_trade,roll,8122,44913,0.180839
random_no_trade,end_main_action,8049,44913,0.179213
random_no_trade,skip_trade,8000,44913,0.178122
random_no_trade,end_turn,7946,44913,0.17692
random_no_trade,reject_trade,5418,44913,0.120633
random_no_trade,build_road,2803,44913,0.06241
random_no_trade,build_settlement,2004,44913,0.04462
random_no_trade,move_robber,1348,44913,0.030014
random_no_trade,discard_cards,773,44913,0.017211
random_no_trade,buy_dev_card,217,44913,0.004832
random_no_trade,play_dev_card,145,44913,0.003228
random_no_trade,build_city,88,44913,0.001959
tom_dqn,roll,8146,50541,0.161176
tom_dqn,end_main_action,8088,50541,0.160028
tom_dqn,end_turn,7972,50541,0.157733
tom_dqn,counter_trade,7624,50541,0.150848
tom_dqn,propose_trade,4358,50541,0.086227
tom_dqn,skip_trade,3700,50541,0.073208
tom_dqn,build_road,3310,50541,0.065491
tom_dqn,build_settlement,2000,50541,0.039572
tom_dqn,accept_trade,1994,50541,0.039453
tom_dqn,move_robber,1354,50541,0.02679
tom_dqn,bank_trade,938,50541,0.018559
tom_dqn,discard_cards,742,50541,0.014681
tom_dqn,reject_trade,260,50541,0.005144
tom_dqn,buy_dev_card,32,50541,0.000633
tom_dqn,play_dev_card,15,50541,0.000297
tom_dqn,build_city,8,50541,0.000158
unified,roll,8172,52402,0.155948
unified,end_main_action,8080,52402,0.154193
unified,end_turn,7923,52402,0.151197
unified,counter_trade,6310,52402,0.120415
unified,propose_trade,5936,52402,0.113278
unified,build_road,2838,52402,0.054158
unified,reject_trade,2138,52402,0.0408
unified,accept_trade,2107,52402,0.040208
unified,skip_trade,2096,52402,0.039998
unified,build_settlement,2053,52402,0.039178
unified,bank_trade,1722,52402,0.032861
unified,move_robber,1389,52402,0.026507
unified,buy_dev_card,815,52402,0.015553
unified,play_dev_card,562,52402,0.010725
unified,build_city,143,52402,0.002729
unified,discard_cards,118,52402,0.002252
