game,player,agent,seat,winner,natural_winner,won,adjudicated,truncated,steps,turns,victory_points,settlements,cities,roads,played_knights,dev_cards_held,hidden_vp_cards,largest_army,longest_road,longest_road_length,trade_decisions,trade_penalty,adjudication_score
0,WHITE,random_no_trade,WHITE,RED,NONE,0,1,1,2000,89,4,1,1,8,2,0,1,False,False,3,178,0.0,4.16
0,BLUE,unified,BLUE,RED,NONE,0,1,1,2000,89,4,2,0,3,4,0,2,False,False,2,200,0.378,3.902
0,ORANGE,tom_dqn,ORANGE,RED,NONE,0,1,1,2000,89,3,1,1,10,2,0,0,False,False,6,118,0.35,3.16
0,RED,ppo,RED,RED,NONE,1,1,1,2000,89,7,2,0,7,5,0,1,True,True,6,155,0.329,7.141
1,WHITE,unified,WHITE,RED,NONE,0,1,1,2000,84,4,2,0,4,2,0,2,False,False,3,85,0.241,4.019
1,BLUE,tom_dqn,BLUE,RED,NONE,0,1,1,2000,84,6,3,0,15,12,0,1,True,False,8,170,0.51,6.4
1,ORANGE,ppo,ORANGE,RED,NONE,0,1,1,2000,84,2,2,0,7,0,0,0,False,False,5,235,0.405,1.895
1,RED,random_no_trade,RED,RED,NONE,1,1,1,2000,84,8,2,1,15,0,0,2,False,True,8,183,0.0,8.37
2,WHITE,tom_dqn,WHITE,WHITE,WHITE,1,0,0,1180,50,10,3,0,15,9,0,3,True,True,8,99,0.291,
2,BLUE,ppo,BLUE,WHITE,WHITE,0,0,0,1180,50,2,2,0,2,0,0,0,False,False,1,54,0.154,
2,ORANGE,random_no_trade,ORANGE,WHITE,WHITE,0,0,0,1180,50,2,2,0,9,2,0,0,False,False,7,133,0.0,
2,RED,unified,RED,WHITE,WHITE,0,0,0,1180,50,4,0,2,2,1,0,0,False,False,1,110,0.208,
3,WHITE,ppo,WHITE,BLUE,NONE,0,1,1,2000,91,4,2,0,15,1,0,0,False,True,10,182,0.354,4.236
3,BLUE,random_no_trade,BLUE,BLUE,NONE,1,1,1,2000,91,4,2,0,15,3,0,0,True,False,7,190,0.0,4.34
3,ORANGE,unified,ORANGE,BLUE,NONE,0,1,1,2000,91,2,2,0,7,0,0,0,False,False,4,166,0.342,1.938
3,RED,tom_dqn,RED,BLUE,NONE,0,1,1,2000,91,2,2,0,4,1,0,0,False,False,2,91,0.273,1.937
4,WHITE,random_no_trade,WHITE,RED,NONE,0,1,1,2000,93,5,0,2,6,0,0,1,False,False,3,183,0.0,5.13
4,BLUE,unified,BLUE,RED,NONE,0,1,1,2000,93,3,2,0,3,0,0,1,False,False,2,219,0.399,2.761
4,ORANGE,tom_dqn,ORANGE,RED,NONE,0,1,1,2000,93,5,2,0,15,4,0,1,False,True,10,114,0.34,5.34
4,RED,ppo,RED,RED,NONE,1,1,1,2000,93,8,0,2,8,10,0,2,True,False,7,151,0.335,8.465
5,WHITE,unified,WHITE,ORANGE,NONE,0,1,1,2000,89,2,2,0,2,0,0,0,False,False,1,90,0.244,1.876
5,BLUE,tom_dqn,BLUE,ORANGE,NONE,0,1,1,2000,89,2,2,0,6,0,0,0,False,False,3,179,0.533,1.707
5,ORANGE,ppo,ORANGE,ORANGE,NONE,1,1,1,2000,89,9,2,0,4,10,0,5,True,False,2,230,0.408,9.072
5,RED,random_no_trade,RED,ORANGE,NONE,0,1,1,2000,89,7,5,0,15,4,0,0,False,True,10,199,0.0,7.52
6,WHITE,tom_dqn,WHITE,ORANGE,NONE,0,1,1,2000,88,4,3,0,15,1,0,1,False,False,8,175,0.525,4.055
6,BLUE,ppo,BLUE,ORANGE,NONE,0,1,1,2000,88,5,2,0,5,1,0,3,False,False,4,128,0.292,4.978
6,ORANGE,random_no_trade,ORANGE,ORANGE,NONE,1,1,1,2000,88,5,3,0,15,4,0,0,False,True,9,198,0.0,5.44
6,RED,unified,RED,ORANGE,NONE,0,1,1,2000,88,4,2,0,4,4,0,0,True,False,3,195,0.369,3.951
7,WHITE,ppo,WHITE,WHITE,WHITE,1,0,0,1437,65,10,4,1,15,9,0,2,True,False,8,122,0.244,
7,BLUE,random_no_trade,BLUE,WHITE,WHITE,0,0,0,1437,65,4,2,0,11,2,0,0,False,True,9,143,0.0,
7,ORANGE,unified,ORANGE,WHITE,WHITE,0,0,0,1437,65,4,0,2,4,0,0,0,False,False,3,116,0.23,
7,RED,tom_dqn,RED,WHITE,WHITE,0,0,0,1437,65,5,2,0,8,3,0,3,False,False,4,66,0.198,
8,WHITE,random_no_trade,WHITE,WHITE,NONE,1,1,1,2000,89,8,4,1,15,6,1,0,True,False,5,180,0.0,8.55
8,BLUE,unified,BLUE,WHITE,NONE,0,1,1,2000,89,4,2,0,4,4,0,2,False,False,3,218,0.398,3.922
8,ORANGE,tom_dqn,ORANGE,WHITE,NONE,0,1,1,2000,89,3,2,0,5,0,0,1,False,False,3,105,0.315,2.905
8,RED,ppo,RED,WHITE,NONE,0,1,1,2000,89,5,2,0,15,0,0,1,False,True,8,139,0.315,5.205
9,WHITE,unified,WHITE,BLUE,NONE,0,1,1,2000,87,3,2,0,2,2,4,1,False,False,1,88,0.26,2.92
9,BLUE,tom_dqn,BLUE,BLUE,NONE,1,1,1,2000,87,6,2,0,4,8,0,2,True,False,1,173,0.511,5.889
9,ORANGE,ppo,ORANGE,BLUE,NONE,0,1,1,2000,87,3,2,0,2,0,0,1,False,False,1,236,0.408,2.712
9,RED,random_no_trade,RED,BLUE,NONE,0,1,1,2000,87,4,3,0,7,2,0,1,False,False,3,194,0.0,4.1
10,WHITE,tom_dqn,WHITE,BLUE,NONE,0,1,1,2000,87,2,2,0,2,2,0,0,False,False,0,166,0.494,1.666
10,BLUE,ppo,BLUE,BLUE,NONE,1,1,1,2000,87,6,2,0,3,8,0,2,True,False,2,125,0.297,6.103
10,ORANGE,random_no_trade,ORANGE,BLUE,NONE,0,1,1,2000,87,3,2,0,11,1,0,1,False,False,5,202,0.0,3.16
10,RED,unified,RED,BLUE,NONE,0,1,1,2000,87,4,2,0,8,0,0,0,False,True,6,186,0.342,3.998
11,WHITE,ppo,WHITE,BLUE,NONE,0,1,1,2000,92,4,2,0,10,0,0,0,False,True,8,184,0.368,4.052
11,BLUE,random_no_trade,BLUE,BLUE,NONE,1,1,1,2000,92,4,2,0,10,2,0,2,False,False,4,177,0.0,4.15
11,ORANGE,unified,ORANGE,BLUE,NONE,0,1,1,2000,92,2,2,0,9,0,0,0,False,False,7,191,0.375,2.005
11,RED,tom_dqn,RED,BLUE,NONE,0,1,1,2000,92,2,2,0,8,1,0,0,False,False,4,92,0.276,2.054
12,WHITE,random_no_trade,WHITE,WHITE,WHITE,1,0,0,1615,74,10,2,1,15,3,0,2,True,True,9,150,0.0,
12,BLUE,unified,BLUE,WHITE,WHITE,0,0,0,1615,74,3,3,0,7,0,0,0,False,False,6,188,0.336,
12,ORANGE,tom_dqn,ORANGE,WHITE,WHITE,0,0,0,1615,74,3,2,0,5,0,0,1,False,False,3,74,0.222,
12,RED,ppo,RED,WHITE,WHITE,0,0,0,1615,74,3,2,0,3,2,0,1,False,False,2,99,0.233,
13,WHITE,unified,WHITE,ORANGE,NONE,0,1,1,2000,88,2,2,0,6,0,0,0,False,False,5,88,0.22,2.06
13,BLUE,tom_dqn,BLUE,ORANGE,NONE,0,1,1,2000,88,5,3,0,8,1,0,2,False,False,5,174,0.496,4.884
13,ORANGE,ppo,ORANGE,ORANGE,NONE,1,1,1,2000,88,9,2,0,10,8,0,3,True,True,7,225,0.397,9.243
13,RED,random_no_trade,RED,ORANGE,NONE,0,1,1,2000,88,2,2,0,12,5,0,0,False,False,6,179,0.0,2.32
14,WHITE,tom_dqn,WHITE,WHITE,NONE,1,1,1,2000,87,6,2,0,15,4,0,0,True,True,11,175,0.525,6.175
14,BLUE,ppo,BLUE,WHITE,NONE,0,1,1,2000,87,3,2,0,5,2,0,1,False,False,3,117,0.293,2.987
14,ORANGE,random_no_trade,ORANGE,WHITE,NONE,0,1,1,2000,87,3,1,1,12,3,0,0,False,False,8,221,0.0,3.37
14,RED,unified,RED,WHITE,NONE,0,1,1,2000,87,2,2,0,6,0,0,0,False,False,4,188,0.364,1.896
15,WHITE,ppo,WHITE,BLUE,BLUE,0,0,0,1685,75,2,2,0,4,1,0,0,False,False,1,150,0.294,
15,BLUE,random_no_trade,BLUE,BLUE,BLUE,1,0,0,1685,75,10,3,2,15,4,0,1,False,True,11,166,0.0,
15,ORANGE,unified,ORANGE,BLUE,BLUE,0,0,0,1685,75,2,2,0,4,0,0,0,False,False,3,133,0.283,
15,RED,tom_dqn,RED,BLUE,BLUE,0,0,0,1685,75,6,2,0,11,7,0,2,True,False,7,76,0.228,
16,WHITE,random_no_trade,WHITE,ORANGE,ORANGE,0,0,0,1292,59,2,2,0,4,2,1,0,False,False,2,122,0.0,
16,BLUE,unified,BLUE,ORANGE,ORANGE,0,0,0,1292,59,2,2,0,2,0,0,0,False,False,1,141,0.259,
16,ORANGE,tom_dqn,ORANGE,ORANGE,ORANGE,1,0,0,1292,59,10,5,0,15,3,0,1,True,True,8,63,0.179,
16,RED,ppo,RED,ORANGE,ORANGE,0,0,0,1292,59,2,2,0,6,1,0,0,False,False,4,87,0.205,
17,WHITE,unified,WHITE,ORANGE,ORANGE,0,0,0,1398,62,3,2,0,2,2,0,1,False,False,1,63,0.181,
17,BLUE,tom_dqn,BLUE,ORANGE,ORANGE,0,0,0,1398,62,2,2,0,2,1,0,0,False,False,0,124,0.372,
17,ORANGE,ppo,ORANGE,ORANGE,ORANGE,1,0,0,1398,62,10,2,0,13,7,0,4,True,True,8,168,0.29,
17,RED,random_no_trade,RED,ORANGE,ORANGE,0,0,0,1398,62,2,2,0,8,0,0,0,False,False,4,136,0.0,
