agent,resource,offered,requested,bank_given,bank_received
ppo,wood,2437,2382,367,376
ppo,brick,1680,2697,195,383
ppo,wool,2938,2350,496,387
ppo,wheat,2765,2335,437,375
ppo,ore,2417,2473,352,326
random_no_trade,wood,0,0,0,0
random_no_trade,brick,0,0,0,0
random_no_trade,wool,0,0,0,0
random_no_trade,wheat,0,0,0,0
random_no_trade,ore,0,0,0,0
tom_dqn,wood,3683,3316,230,481
tom_dqn,brick,3111,3478,255,456
tom_dqn,wool,2237,1836,7,0
tom_dqn,wheat,1062,2829,446,1
tom_dqn,ore,1889,523,0,0
unified,wood,2285,2457,379,16
unified,brick,1590,2672,227,23
unified,wool,2561,2502,405,64
unified,wheat,2975,2292,482,872
unified,ore,2835,2323,229,747
