update,gameplay_rollouts,trade_rollouts,gameplay_reward,gameplay_reward_avg_logged,trade_reward,trade_reward_avg_logged,trade_propose,trade_accept,trade_reject,trade_counter,trade_skip,gameplay_entropy,gameplay_entropy_coef,trade_entropy,trade_entropy_avg_logged,trade_entropy_coef,gp_policy_loss,gp_value_loss,tr_policy_loss,tr_value_loss,tr_tom_loss,trade_propose_rate,trade_accept_rate,trade_reject_rate,trade_counter_rate,trade_skip_rate,trade_accept_given_propose,trade_reward_ma10,gameplay_reward_ma10,trade_entropy_ma10,tr_value_loss_ma10,gp_value_loss_ma10
0,482,296,0.0291,0.0291,0.0022,0.0022,45,7,36,12,196,2.0074,0.008,2.9953,2.9953,0.0005,0.0871,0.4795,0.26,0.4404,2.26091,0.15202702702702703,0.02364864864864865,0.12162162162162163,0.04054054054054054,0.6621621621621622,0.15555555555555556,0.0022,0.0291,2.9953,0.4404,0.4795
1,478,309,0.0408,0.0349,0.006,0.0041,55,20,35,17,182,1.7381,0.00797,2.9953,2.9953,0.000498,0.1714,0.7299,0.2584,0.441,2.252835,0.1779935275080906,0.06472491909385113,0.11326860841423948,0.05501618122977346,0.5889967637540453,0.36363636363636365,0.0041,0.03495,2.9953,0.4407,0.6047
2,481,300,0.0329,0.0342,0.0022,0.0035,50,6,43,10,191,1.6344,0.00793,2.9953,2.9953,0.000495,0.2283,1.064,0.261,0.424,2.244591,0.16666666666666666,0.02,0.14333333333333334,0.03333333333333333,0.6366666666666667,0.12,0.003466666666666667,0.03426666666666667,2.9953,0.43513333333333337,0.7578
3,478,308,0.0241,0.0317,0.0052,0.0039,49,17,33,19,190,1.7019,0.0079,2.9953,2.9953,0.000493,0.5255,1.3873,0.2613,0.4423,2.236256,0.1590909090909091,0.05519480519480519,0.10714285714285714,0.06168831168831169,0.6168831168831169,0.3469387755102041,0.0039000000000000003,0.031725,2.9953,0.436925,0.9151750000000001
4,477,308,0.0312,0.0316,0.0046,0.0041,54,15,39,14,186,1.6284,0.00787,2.9952,2.9953,0.000491,0.2667,1.7345,0.2568,0.4142,2.227679,0.17532467532467533,0.048701298701298704,0.1266233766233766,0.045454545454545456,0.6038961038961039,0.2777777777777778,0.00404,0.031619999999999995,2.99528,0.43238000000000004,1.07904
5,486,294,0.0223,0.03,0.0026,0.0038,48,10,36,8,192,1.587,0.00784,2.9953,2.9953,0.000489,0.2737,2.0689,0.2584,0.4192,2.21894,0.16326530612244897,0.034013605442176874,0.12244897959183673,0.027210884353741496,0.6530612244897959,0.20833333333333334,0.0038,0.03006666666666667,2.995283333333333,0.43018333333333336,1.2440166666666668
6,482,302,0.0187,0.0284,0.0035,0.0038,51,12,38,10,191,1.4968,0.0078,2.9952,2.9953,0.000486,0.2533,2.5738,0.261,0.4501,2.209902,0.16887417218543047,0.039735099337748346,0.12582781456953643,0.033112582781456956,0.6324503311258278,0.23529411764705882,0.0037571428571428573,0.02844285714285714,2.9952714285714284,0.43302857142857143,1.4339857142857144
7,479,304,0.0234,0.0278,0.0051,0.0039,50,18,33,14,189,1.4179,0.00777,2.9952,2.9953,0.000484,0.2464,2.7863,0.2549,0.412,2.200592,0.16447368421052633,0.05921052631578947,0.10855263157894737,0.046052631578947366,0.6217105263157895,0.36,0.003925,0.0278125,2.9952625,0.4304,1.6030250000000001
8,486,295,0.0211,0.0271,0.0029,0.0038,41,11,30,12,201,1.4269,0.00774,2.9952,2.9953,0.000482,0.2713,3.1249,0.2564,0.4033,2.190953,0.13898305084745763,0.03728813559322034,0.1016949152542373,0.04067796610169491,0.6813559322033899,0.2682926829268293,0.0038111111111111106,0.02706666666666667,2.9952555555555556,0.4273888888888889,1.7721222222222222
9,482,299,0.0233,0.0267,0.0032,0.0038,46,11,35,12,195,1.4066,0.00771,2.9952,2.9952,0.00048,0.2499,3.54,0.2566,0.4431,2.180959,0.15384615384615385,0.03678929765886288,0.11705685618729098,0.04013377926421405,0.6521739130434783,0.2391304347826087,0.00375,0.026690000000000002,2.99525,0.42896,1.9489100000000001
