metric,value
trade_policy_loss_gt_1e+03,200.0
trade_policy_loss_gt_1e+04,198.0
trade_policy_loss_gt_1e+05,182.0
trade_policy_loss_gt_1e+06,169.0
negative_trade_reward_updates,23.0
high_counter_low_accept_updates,0.0
high_trade_rollout_updates,93.0
trade_policy_loss_max,8144009560064.0
trade_policy_loss_mean,41241598899.24405
trade_value_loss_max,23.7281
trade_value_loss_mean,1.7321035
trade_entropy_max,2.1501
trade_entropy_mean,1.2234265
tom_loss_max,2.7737
tom_loss_mean,1.4540155000000001
dqn_td_loss_max,0.0098
dqn_td_loss_mean,0.0012900000000000001
