update,gameplay_rollouts,trade_rollouts,epsilon,replay_size,gameplay_reward,gameplay_reward_avg_logged,trade_reward,trade_reward_avg_logged,trade_propose,trade_accept,trade_reject,trade_counter,trade_skip,dqn_td_loss,dqn_q_mean,dqn_target_q_mean,trade_policy_loss,trade_value_loss,trade_entropy,tom_loss,gameplay_reward_ma10,trade_reward_ma10,dqn_td_loss_ma10,dqn_q_mean_ma10,dqn_target_q_mean_ma10,trade_policy_loss_ma10,trade_value_loss_ma10,trade_entropy_ma10,tom_loss_ma10,epsilon_ma10,trade_propose_rate,trade_accept_rate,trade_reject_rate,trade_counter_rate,trade_skip_rate
0,159,60,1.0,159,0.0741,0.0741,0.0001,0.0001,18,9,9,7,17,0.0,0.0,0.0,9532909.5,0.4957,2.0688,2.3668,0.0741,0.0001,0.0,0.0,0.0,9532909.5,0.4957,2.0688,2.3668,1.0,0.3,0.15,0.15,0.11666666666666667,0.2833333333333333
1,119,89,0.9976,278,0.0065,0.0403,-0.0012,-0.0005,23,12,11,18,25,0.0,0.0,0.0,3489321.0,0.4978,2.107,2.3614,0.0403,-0.0005499999999999999,0.0,0.0,0.0,6511115.25,0.49675,2.0879000000000003,2.3641,0.9988,0.25842696629213485,0.1348314606741573,0.12359550561797752,0.20224719101123595,0.2808988764044944
2,127,85,0.9951,405,0.0059,0.0288,0.0004,-0.0002,26,13,11,16,19,0.0,0.0,0.0,1599980.8438,0.4967,2.0957,2.3548,0.028833333333333332,-0.0002333333333333333,0.0,0.0,0.0,4874070.447933334,0.4967333333333333,2.0905,2.361,0.9975666666666667,0.3058823529411765,0.15294117647058825,0.12941176470588237,0.18823529411764706,0.2235294117647059
3,129,79,0.9927,534,0.0048,0.0228,-0.0006,-0.0003,16,8,8,16,31,0.0021,0.0303,0.0321,14958972.25,0.4975,2.0488,2.3615,0.022824999999999998,-0.00032499999999999993,0.000525,0.007575,0.008025,7395295.89845,0.496925,2.080075,2.361125,0.9963500000000001,0.20253164556962025,0.10126582278481013,0.10126582278481013,0.20253164556962025,0.3924050632911392
4,132,74,0.9903,666,0.0005,0.0184,-0.0,-0.0003,22,12,9,3,28,0.0017,0.0429,0.0208,4759643.625,0.4978,2.0066,2.367,0.018359999999999998,-0.0002599999999999999,0.0007599999999999999,0.01464,0.010579999999999999,6868165.44376,0.4971,2.06538,2.3623000000000003,0.9951399999999999,0.2972972972972973,0.16216216216216217,0.12162162162162163,0.04054054054054054,0.3783783783783784
5,128,83,0.9878,794,0.0006,0.0154,-0.0005,-0.0003,22,10,13,14,24,0.0011,0.0248,0.0208,5162011.125,0.5019,2.0923,2.3603,0.015399999999999999,-0.0003,0.0008166666666666666,0.016333333333333335,0.012283333333333332,6583806.3906333335,0.4979,2.0698666666666665,2.361966666666667,0.9939166666666667,0.26506024096385544,0.12048192771084337,0.1566265060240964,0.1686746987951807,0.2891566265060241
6,132,78,0.9854,926,0.0098,0.0146,0.0007,-0.0002,23,12,11,10,22,0.0013,0.0154,0.0221,6598897.375,0.5032,2.0547,2.3465,0.0146,-0.00015714285714285713,0.0008857142857142857,0.0162,0.013685714285714285,6585962.245542857,0.49865714285714285,2.0677,2.3597571428571427,0.9927,0.2948717948717949,0.15384615384615385,0.14102564102564102,0.1282051282051282,0.28205128205128205
7,117,97,0.983,1043,0.0099,0.014,0.0022,0.0001,34,18,14,22,9,0.0013,0.0278,0.0182,1504125.5938,0.5086,2.0817,2.3179,0.0140125,0.00013750000000000004,0.0009375,0.01765,0.014249999999999999,5950732.664075,0.4999,2.06945,2.3545249999999998,0.9914875,0.35051546391752575,0.18556701030927836,0.14432989690721648,0.2268041237113402,0.09278350515463918
8,122,91,0.9805,1165,0.0063,0.0132,0.0011,0.0002,30,15,17,15,14,0.0011,0.0182,0.0223,2886582.25,0.52,1.7427,2.2946,0.013155555555555556,0.0002444444444444445,0.0009555555555555555,0.017711111111111108,0.015144444444444445,5610271.506955556,0.5021333333333333,2.0331444444444444,2.3478666666666665,0.9902666666666666,0.32967032967032966,0.16483516483516483,0.18681318681318682,0.16483516483516483,0.15384615384615385
9,122,91,0.9781,1287,0.0035,0.0122,0.0011,0.0003,39,9,30,11,2,0.0016,0.021,0.0237,8066667.625,0.5308,1.0715,2.3129,0.01219,0.00033000000000000005,0.00102,0.01804,0.016,5855911.11876,0.505,1.9369800000000001,2.34437,0.98905,0.42857142857142855,0.0989010989010989,0.32967032967032966,0.12087912087912088,0.02197802197802198
10,126,87,0.9757,1413,0.0045,0.0115,0.0017,0.0005,42,3,38,3,1,0.0005,0.0167,0.0169,19286051.5,0.5219,0.4601,2.3914,0.00523,0.0004900000000000001,0.00107,0.01971,0.01769,6831225.31876,0.50762,1.7761099999999999,2.3468299999999997,0.9866199999999999,0.4827586206896552,0.034482758620689655,0.4367816091954023,0.034482758620689655,0.011494252873563218
11,124,89,0.9732,1537,0.0084,0.0112,0.0012,0.0005,43,0,42,3,1,0.0004,0.0219,0.0202,15550082.75,0.5144,0.5232,2.3899,0.0054199999999999995,0.00073,0.00111,0.0219,0.01971,8037301.49376,0.5092800000000001,1.61773,2.34968,0.9841799999999999,0.48314606741573035,0.0,0.47191011235955055,0.033707865168539325,0.011235955056179775
