game,winner,controlled_win,controlled_vp,winner_vp,turns,steps,avg_reward,largest_army,played_knights,dev_cards_bought,held_dev_cards,hidden_vp_cards,longest_road_award,longest_road_length,settlements,cities,roads,build_efficiency,brick_wood_balance,truncated
0,NONE,0,5,7,141,2000,0.0007955,0,2,7,0,3,0,4,2,0,15,0.11538461538461539,1.0,1
1,WHITE,1,10,10,18,306,0.011281045751633986,1,3,4,0,0,1,5,2,2,11,0.22641509433962265,0.0,0
2,ORANGE,0,6,10,48,784,-0.00015943877551020407,0,0,0,0,0,1,6,2,1,15,0.1095890410958904,0.5,0
3,WHITE,1,10,10,64,973,0.003709146968139774,1,4,9,0,3,0,4,5,0,15,0.16363636363636364,0.5,0
4,RED,0,7,10,43,711,0.000459915611814346,0,0,0,0,0,1,9,3,1,15,0.10714285714285714,0.0,0
5,BLUE,0,5,10,52,829,0.00031001206272617617,0,0,4,1,2,0,4,3,0,13,0.08333333333333333,0.0,0
6,WHITE,1,10,10,104,1756,0.0023382687927107062,0,3,9,0,3,0,9,5,1,15,0.088,1.0,0
7,ORANGE,0,4,10,102,1578,0.0002908745247148289,0,2,5,0,2,0,4,2,0,8,0.09523809523809523,0.0,0
8,ORANGE,0,7,10,106,1600,0.001018125,0,4,9,2,1,0,5,4,1,15,0.13333333333333333,1.0,0
9,NONE,0,9,9,129,2000,0.000543,0,2,2,0,0,1,11,5,1,15,0.12222222222222222,0.0,1
10,BLUE,0,8,10,81,1292,0.001291795665634675,1,5,10,0,3,0,5,3,0,15,0.07777777777777778,0.0,0
11,WHITE,1,10,10,69,1109,0.003237150586113616,0,2,5,0,1,1,9,1,3,15,0.10784313725490197,0.0,0
12,ORANGE,0,5,10,82,1272,-9.276729559748429e-05,0,1,1,0,0,1,8,3,0,15,0.08433734939759036,0.0,0
13,ORANGE,0,3,10,54,889,-4.274465691788525e-05,0,0,2,0,1,0,2,2,0,5,0.1,1.0,0
14,BLUE,0,2,10,63,939,-8.519701810436636e-05,0,2,2,0,0,0,1,2,0,4,0.11764705882352941,0.0,0
15,RED,0,2,10,48,796,-0.00036180904522613067,0,1,1,0,0,0,2,2,0,3,0.0641025641025641,0.0,0
16,WHITE,1,10,10,92,1366,0.002898243045387994,0,3,5,0,1,1,5,1,3,10,0.19298245614035087,1.0,0
17,WHITE,1,10,10,108,1695,0.0024607669616519175,1,6,8,0,1,0,3,1,3,10,0.12643678160919541,0.0,0
18,RED,0,3,10,86,1378,-1.886792452830187e-05,0,2,5,1,1,0,7,2,0,10,0.08,1.0,0
19,ORANGE,0,3,10,35,581,-0.00010671256454388983,0,0,0,0,0,0,4,1,1,6,0.12280701754385964,0.0,0
20,RED,0,3,10,61,971,-4.737384140061792e-05,0,2,3,0,0,0,5,3,0,15,0.07954545454545454,0.5,0
21,BLUE,0,7,10,49,843,0.00014472123368920522,0,0,1,0,1,1,6,4,0,15,0.10810810810810811,0.75,0
22,ORANGE,0,8,10,64,1005,0.002336318407960199,0,5,8,0,2,0,4,0,3,8,0.24444444444444444,1.0,0
23,BLUE,0,3,10,65,1021,0.00044857982370225273,0,3,4,0,1,0,2,2,0,4,0.08695652173913043,0.0,0
24,RED,0,2,10,42,679,-0.00030633284241531663,0,2,2,0,0,0,4,2,0,9,0.09090909090909091,0.0,0
25,ORANGE,0,9,10,96,1594,0.0008506900878293601,1,5,5,0,0,0,9,1,3,15,0.0763888888888889,0.0,0
26,NONE,0,6,8,130,2000,0.0006245000000000001,0,3,6,0,2,0,6,4,0,15,0.08333333333333333,1.0,1
27,WHITE,1,10,10,68,1109,0.0029251577998196574,0,2,5,0,2,1,7,4,1,15,0.13333333333333333,0.0,0
28,BLUE,0,3,10,61,946,0.0003668076109936575,0,1,3,0,1,0,2,2,0,5,0.09836065573770492,0.0,0
29,WHITE,1,10,10,99,1575,0.0021663492063492065,0,1,3,0,1,1,7,1,3,12,0.12222222222222222,0.5,0
30,RED,0,4,10,59,986,0.0006206896551724138,0,2,5,0,2,0,2,2,0,6,0.06578947368421052,1.0,0
31,WHITE,1,10,10,68,1025,0.0030965853658536584,1,5,8,0,2,1,7,4,0,15,0.13114754098360656,1.0,0
32,BLUE,0,4,10,71,1131,-0.00019982316534040674,0,1,2,0,0,0,5,4,0,15,0.08888888888888889,0.6666666666666666,0
33,BLUE,0,5,10,119,1829,0.0003827227993439038,0,3,5,0,2,0,4,3,0,8,0.07865168539325842,0.0,0
34,RED,0,4,10,58,941,0.0003315621679064825,1,5,5,0,0,0,3,2,0,7,0.1016949152542373,0.0,0
35,NONE,0,8,8,134,2000,0.001033,1,4,8,0,1,1,7,1,1,15,0.08333333333333333,0.0,1
36,BLUE,0,2,10,43,667,-0.0005247376311844079,0,0,1,0,0,0,3,2,0,5,0.10344827586206896,0.0,0
37,RED,0,5,10,66,1064,0.001700187969924812,0,5,8,0,1,0,1,0,2,3,0.11475409836065574,0.3333333333333333,0
38,RED,0,4,10,51,788,0.0006459390862944163,0,1,4,0,2,0,4,2,0,7,0.1,0.0,0
39,ORANGE,0,4,10,65,1022,0.0008483365949119374,0,4,6,0,1,0,3,1,1,10,0.08571428571428572,0.0,0
40,RED,0,2,10,102,1604,-0.00013653366583541148,0,2,5,0,0,0,5,2,0,15,0.06976744186046512,1.0,0
41,NONE,0,8,8,132,2000,0.0013755,1,8,11,0,0,0,6,4,1,15,0.11235955056179775,0.0,1
42,BLUE,0,4,10,54,893,0.0002799552071668533,0,2,4,0,1,0,5,3,0,15,0.08333333333333333,0.5,0
43,RED,0,3,10,103,1589,-9.880427942101951e-05,0,0,1,0,1,0,5,2,0,9,0.06666666666666667,0.0,0
44,ORANGE,0,6,10,106,1631,0.0007124463519313305,1,6,8,0,1,0,4,3,0,11,0.09090909090909091,0.0,0
45,RED,0,6,10,103,1659,0.0008565400843881857,1,6,8,0,0,0,4,2,1,9,0.0963855421686747,0.0,0
46,RED,0,4,10,88,1355,0.00010405904059040589,0,2,3,0,0,1,8,2,0,10,0.07058823529411765,0.0,0
47,WHITE,1,10,10,46,736,0.006690217391304348,1,6,13,0,3,0,3,1,2,8,0.15555555555555556,1.0,0
48,ORANGE,0,3,10,61,962,1.2474012474012479e-05,0,1,2,0,0,0,2,1,1,4,0.19444444444444445,0.0,0
49,WHITE,1,10,10,44,700,0.0053014285714285715,1,3,7,0,1,1,6,1,2,9,0.22,1.0,0
50,RED,0,4,10,68,1047,0.00017574021012416427,1,3,4,1,0,0,2,2,0,6,0.08823529411764706,0.0,0
51,NONE,0,5,6,139,2000,0.0009765,0,4,7,0,2,0,4,1,1,8,0.13725490196078433,0.5,1
52,BLUE,0,2,10,41,639,-0.0007636932707355242,0,1,1,0,0,0,7,2,0,15,0.09836065573770492,0.5,0
53,ORANGE,0,3,10,48,784,-0.00026403061224489796,0,0,2,0,1,0,7,2,0,11,0.08571428571428572,0.0,0
54,BLUE,0,4,10,129,1988,-2.515090543259543e-06,0,1,3,0,2,0,4,2,0,11,0.06666666666666667,1.0,0
55,NONE,0,7,9,123,2000,0.000915,0,3,7,0,1,0,5,4,1,15,0.11235955056179775,0.3333333333333333,1
56,WHITE,1,10,10,65,1083,0.0034727608494921516,0,4,6,0,2,1,8,2,2,15,0.10416666666666667,1.0,0
57,BLUE,0,5,10,64,1012,0.0002766798418972332,0,1,1,0,0,1,6,1,1,9,0.08860759493670886,0.0,0
58,RED,0,7,10,55,844,0.0019490521327014218,1,6,10,0,2,0,3,1,1,5,0.10909090909090909,0.0,0
59,ORANGE,0,2,10,47,767,-0.0002542372881355932,0,2,2,0,0,0,3,2,0,6,0.125,0.0,0
60,BLUE,0,4,10,104,1580,0.000319620253164557,0,1,4,0,2,0,5,2,0,8,0.07692307692307693,1.0,0
61,BLUE,0,2,10,87,1323,0.00010884353741496598,0,2,4,0,0,0,4,2,0,5,0.07462686567164178,1.0,0
62,WHITE,1,11,11,92,1437,0.002499652052887961,1,5,5,0,0,1,11,3,2,15,0.12941176470588237,0.25,0
63,WHITE,1,10,10,37,587,0.0066081771720613285,1,3,8,0,2,1,5,0,2,8,0.2222222222222222,0.0,0
64,ORANGE,0,5,10,62,1038,-5.5876685934489396e-05,0,0,0,0,0,1,5,1,1,11,0.07777777777777778,0.0,0
65,WHITE,1,10,10,66,1109,0.0026167718665464383,1,4,7,0,1,1,8,5,0,15,0.10344827586206896,0.0,0
66,BLUE,0,2,10,57,890,-0.0006044943820224719,0,0,1,1,0,0,4,2,0,10,0.0759493670886076,0.0,0
67,NONE,0,3,9,133,2000,0.0005185,0,1,2,0,1,0,4,2,0,7,0.07317073170731707,0.0,1
68,BLUE,0,3,10,67,1121,0.0001248884924174844,0,2,4,0,1,0,3,2,0,8,0.06976744186046512,0.0,0
69,WHITE,1,10,10,75,1189,0.004191757779646762,1,10,15,0,2,0,5,4,1,15,0.12987012987012986,0.0,0
70,RED,0,7,10,76,1186,0.0006011804384485666,0,3,5,1,1,1,11,4,0,15,0.1038961038961039,1.0,0
71,BLUE,0,3,10,99,1488,0.0002264784946236559,0,2,3,0,1,0,1,2,0,4,0.07792207792207792,0.0,0
72,WHITE,1,10,10,22,373,0.009016085790884719,0,0,2,0,2,1,6,2,2,8,0.358974358974359,0.25,0
73,BLUE,0,4,10,90,1403,0.0003528153955808981,0,3,5,0,2,0,2,2,0,7,0.075,0.0,0
74,BLUE,0,7,10,55,933,0.0007406216505894962,0,1,3,1,0,0,9,5,1,15,0.11956521739130435,0.5,0
