Parsed updates: 78
Update range: 0 to 77
gameplay_reward mean: 0.015022
gameplay_reward min: 0.004600
gameplay_reward max: 0.063000
trade_reward mean: -0.003832
trade_reward min: -0.008400
trade_reward max: 0.003000
gameplay_entropy mean: 0.736627
gameplay_entropy min: 0.652900
gameplay_entropy max: 1.196600
trade_entropy mean: 2.297391
trade_entropy min: 1.517600
trade_entropy max: 2.717200
gameplay_value_loss mean: 0.659479
gameplay_value_loss min: 0.454600
gameplay_value_loss max: 1.509300
trade_value_loss mean: 0.427468
trade_value_loss min: 0.021300
trade_value_loss max: 0.551900
tom_loss mean: 1.597682
tom_loss min: 1.414682
tom_loss max: 1.617889
total_loss mean: 0.108829
total_loss min: -0.406800
total_loss max: 0.511300
