Parsed updates: 200
Update range: 0 to 199
gameplay_reward mean: 0.001724
gameplay_reward min: -0.002000
gameplay_reward max: 0.087100
trade_reward mean: 0.002887
trade_reward min: -0.002100
trade_reward max: 0.006900
trade_entropy mean: 2.969150
trade_entropy min: 2.567100
trade_entropy max: 2.995400
trade_value_loss mean: 0.002319
trade_value_loss min: 0.000600
trade_value_loss max: 0.005200
td_loss mean: 0.909573
td_loss min: 0.000000
td_loss max: 3.802400
q_mean mean: 10.786458
q_mean min: 0.000000
q_mean max: 12.608400
