update,gameplay_rollouts,trade_rollouts,gameplay_reward,gameplay_reward_avg_logged,trade_reward,trade_reward_avg_logged,epsilon,td_loss,q_mean,trade_policy_loss,trade_value_loss,trade_entropy,trade_entropy_coef,trade_tom_loss,trade_reward_ma10,gameplay_reward_ma10,trade_entropy_ma10,trade_value_loss_ma10,td_loss_ma10,q_mean_ma10
0,483,296,-0.0018,-0.0018,0.0037,0.0037,1.0,0.0,0.0,0.1006,0.0031,2.994,0.0005,0.0,0.0037,-0.0018,2.994,0.0031,0.0,0.0
1,491,287,-0.0008,-0.0013,0.0024,0.003,0.9954,0.0,0.0,0.1043,0.0012,2.994,0.000498,0.0,0.0030499999999999998,-0.0013,2.994,0.00215,0.0,0.0
2,485,297,-0.001,-0.0012,0.0036,0.0032,0.9907,3.8024,1.4032,0.0978,0.0037,2.994,0.000495,0.0,0.0032333333333333333,-0.0012,2.994,0.0026666666666666666,1.2674666666666667,0.46773333333333333
3,482,300,-0.0019,-0.0014,0.0031,0.0032,0.9861,1.041,3.3338,0.1009,0.0021,2.994,0.000493,0.0,0.0031999999999999997,-0.001375,2.994,0.002525,1.21085,1.18425
4,485,297,0.0005,-0.001,0.0029,0.0031,0.9816,0.4376,4.1467,0.1029,0.0017,2.9939,0.000491,0.0,0.0031399999999999996,-0.001,2.99398,0.00236,1.0562,1.7767400000000002
5,486,296,0.0022,-0.0005,0.0033,0.0031,0.977,0.3017,5.0514,0.0919,0.0025,2.9939,0.000489,0.0,0.0031666666666666666,-0.0004666666666666666,2.9939666666666667,0.0023833333333333332,0.93045,2.3225166666666666
6,485,294,-0.0001,-0.0004,0.0019,0.003,0.9723,0.3241,5.9897,0.0966,0.0016,2.9938,0.000486,0.0,0.0029857142857142856,-0.0004142857142857142,2.9939428571428572,0.0022714285714285714,0.8438285714285714,2.8464
7,483,301,0.0014,-0.0002,0.004,0.0031,0.9677,0.2256,6.7761,0.0957,0.004,2.9937,0.000484,0.0,0.0031125,-0.00018749999999999995,2.9939125,0.0024875,0.76655,3.3376125
8,490,289,-0.0007,-0.0002,0.0012,0.0029,0.9631,0.2572,7.7213,0.0931,0.0009,2.9936,0.000482,0.0,0.0029,-0.00024444444444444443,2.9938777777777776,0.002311111111111111,0.7099555555555556,3.8246888888888892
9,483,300,0.0015,-0.0001,0.0047,0.0031,0.9585,0.3924,8.5401,0.0921,0.0045,2.9935,0.00048,0.0,0.0030800000000000003,-6.999999999999997e-05,2.99384,0.00253,0.6782,4.2962299999999995
10,487,293,-0.0003,-0.0001,0.0021,0.003,0.9539,0.3903,9.36,0.0911,0.0016,2.9933,0.000477,0.0,0.00292,8.000000000000003e-05,2.99377,0.00238,0.71723,5.2322299999999995
11,486,296,-0.001,-0.0002,0.0035,0.003,0.9493,0.3232,10.0231,0.085,0.0025,2.9932,0.000475,0.0,0.0030299999999999997,6.000000000000003e-05,2.99369,0.00251,0.7495499999999999,6.23454
12,485,295,-0.0012,-0.0002,0.003,0.003,0.9447,0.3943,11.2211,0.0811,0.0023,2.993,0.000473,0.0,0.0029699999999999996,4.000000000000004e-05,2.99359,0.0023699999999999997,0.40874,7.216330000000001
13,480,304,-0.0002,-0.0002,0.0042,0.0031,0.94,0.9635,10.5387,0.0842,0.004,2.9927,0.000471,0.0,0.0030800000000000003,0.00021000000000000004,2.99346,0.0025599999999999998,0.40099,7.93682
14,480,306,0.0009,-0.0002,0.0054,0.0033,0.9355,1.1484,10.5107,0.0772,0.0052,2.9924,0.000468,0.0,0.0033300000000000005,0.00025000000000000006,2.99331,0.00291,0.4720700000000001,8.57322
15,482,300,0.0022,-0.0,0.0038,0.0033,0.9309,1.1767,9.7196,0.1883,0.0031,2.992,0.000466,0.0,0.0033799999999999998,0.00025000000000000006,2.99312,0.00297,0.55957,9.04004
16,493,284,-0.0009,-0.0001,0.0015,0.0032,0.9263,1.0934,9.4292,0.2727,0.001,2.9915,0.000464,0.0,0.00334,0.00017000000000000004,2.99289,0.00291,0.6365000000000001,9.38399
17,483,301,-0.0017,-0.0002,0.0039,0.0032,0.9217,0.437,9.3487,0.2577,0.0023,2.9908,0.000462,0.0,0.0033300000000000005,-0.00013999999999999993,2.9926000000000004,0.00274,0.65764,9.64125
18,484,298,0.0005,-0.0001,0.0034,0.0032,0.9171,0.259,9.2656,0.2613,0.0028,2.9899,0.000459,0.0,0.00355,-1.9999999999999934e-05,2.99223,0.00293,0.6578200000000001,9.795679999999999
19,488,290,0.0002,-0.0001,0.0018,0.0032,0.9125,0.7844,9.6483,0.2322,0.0012,2.9885,0.000457,0.0,0.00326,-0.0001499999999999999,2.9917299999999996,0.0026,0.69702,9.9065
20,492,287,0.0009,0.0,0.0016,0.0031,0.9078,0.5795,9.5169,0.2499,0.0009,2.9864,0.000455,0.0,0.00321,-2.9999999999999936e-05,2.9910400000000004,0.00253,0.71594,9.92219
