metric,value
trade_policy_loss_gt_1e+03,200.0
trade_policy_loss_gt_1e+04,198.0
trade_policy_loss_gt_1e+05,186.0
trade_policy_loss_gt_1e+06,169.0
negative_trade_reward_updates,57.0
high_counter_low_accept_updates,44.0
high_trade_rollout_updates,97.0
trade_policy_loss_max,12930004811776.0
trade_policy_loss_mean,69983154596.10132
trade_value_loss_max,19.7954
trade_value_loss_mean,1.235358
trade_entropy_max,2.1247
trade_entropy_mean,1.1735149999999999
tom_loss_max,7.0875
tom_loss_mean,2.1144985
dqn_td_loss_max,0.1033
dqn_td_loss_mean,0.0196505
