update,gameplay_rollouts,trade_rollouts,epsilon,replay_size,gameplay_reward,gameplay_reward_avg_logged,trade_reward,trade_reward_avg_logged,trade_propose,trade_accept,trade_reject,trade_counter,trade_skip,dqn_td_loss,dqn_q_mean,dqn_target_q_mean,trade_policy_loss,trade_value_loss,trade_entropy,tom_loss,gameplay_reward_ma10,trade_reward_ma10,dqn_td_loss_ma10,dqn_q_mean_ma10,dqn_target_q_mean_ma10,trade_policy_loss_ma10,trade_value_loss_ma10,trade_entropy_ma10,tom_loss_ma10,epsilon_ma10,trade_propose_rate,trade_accept_rate,trade_reject_rate,trade_counter_rate,trade_skip_rate
0,158,60,1.0,158,0.08,0.08,-0.0012,-0.0012,16,2,14,9,19,0.0,0.0,0.0,6710379.75,0.4918,2.0654,2.253,0.08,-0.0012,0.0,0.0,0.0,6710379.75,0.4918,2.0654,2.253,1.0,0.26666666666666666,0.03333333333333333,0.23333333333333334,0.15,0.31666666666666665
1,116,91,0.9976,274,0.0104,0.0452,0.0009,-0.0001,27,11,16,15,22,0.0,0.0,0.0,7525718.5,0.4943,2.1013,2.2694,0.045200000000000004,-0.00014999999999999996,0.0,0.0,0.0,7118049.125,0.49305,2.0833500000000003,2.2612,0.9988,0.2967032967032967,0.12087912087912088,0.17582417582417584,0.16483516483516483,0.24175824175824176
2,127,84,0.9951,401,0.0039,0.0314,0.0009,0.0002,23,10,13,15,23,0.0,0.0,0.0,3073763.375,0.4943,2.0995,2.2651,0.031433333333333334,0.0002,0.0,0.0,0.0,5769953.875,0.49346666666666666,2.0887333333333333,2.2624999999999997,0.9975666666666667,0.27380952380952384,0.11904761904761904,0.15476190476190477,0.17857142857142858,0.27380952380952384
3,131,80,0.9927,532,0.0072,0.0254,0.0003,0.0002,23,11,12,11,23,0.1033,0.2007,0.1318,3234867.0625,0.494,2.0804,2.2662,0.025375,0.000225,0.025825,0.050175,0.03295,5136182.171875,0.49360000000000004,2.08665,2.263425,0.9963500000000001,0.2875,0.1375,0.15,0.1375,0.2875
4,130,77,0.9903,662,0.0038,0.021,0.001,0.0004,22,13,9,8,25,0.059,0.0507,0.1213,7726084.0,0.4935,2.0467,2.283,0.021060000000000002,0.00038,0.03246,0.050280000000000005,0.05062,5654162.5375,0.49358,2.07866,2.26734,0.9951399999999999,0.2857142857142857,0.16883116883116883,0.11688311688311688,0.1038961038961039,0.3246753246753247
5,130,80,0.9878,792,0.0289,0.0224,0.001,0.0005,21,10,8,15,26,0.0389,0.0649,0.1305,3778110.9375,0.4936,2.0447,2.3095,0.022366666666666663,0.0004833333333333333,0.03353333333333333,0.05271666666666667,0.06393333333333333,5341487.270833333,0.4935833333333333,2.073,2.274366666666667,0.9939166666666667,0.2625,0.125,0.1,0.1875,0.325
6,123,89,0.9854,915,0.0041,0.0198,0.0013,0.0006,31,11,20,13,14,0.0321,0.1635,0.1353,3797951.0,0.4945,2.0173,2.3253,0.01975714285714286,0.0006,0.03332857142857143,0.06854285714285714,0.07412857142857143,5120982.089285715,0.4937142857142857,2.065042857142857,2.281642857142857,0.9927,0.34831460674157305,0.12359550561797752,0.2247191011235955,0.14606741573033707,0.15730337078651685
7,116,96,0.983,1031,0.0037,0.0177,0.0021,0.0008,35,20,15,19,7,0.0186,0.1215,0.0819,4567838.125,0.4944,2.0465,2.3644,0.01775,0.0007875,0.0314875,0.0751625,0.0751,5051839.09375,0.4938,2.062725,2.2919875,0.9914875,0.3645833333333333,0.20833333333333334,0.15625,0.19791666666666666,0.07291666666666667
8,119,94,0.9805,1150,0.0202,0.018,0.0022,0.001,32,21,11,19,11,0.0189,0.1308,0.1015,10836361.25,0.4968,2.031,2.3477,0.018022222222222224,0.0009444444444444445,0.030088888888888887,0.08134444444444444,0.07803333333333334,5694563.777777778,0.49413333333333337,2.0592,2.2981777777777777,0.9902666666666666,0.3404255319148936,0.22340425531914893,0.11702127659574468,0.20212765957446807,0.11702127659574468
9,114,101,0.9781,1264,0.0128,0.0175,0.0031,0.0012,39,24,13,21,4,0.0211,0.0776,0.1051,4945416.25,0.5146,1.9686,2.3576,0.017499999999999998,0.00116,0.02919,0.08097,0.08074,5619649.025,0.49618,2.05014,2.30412,0.98905,0.38613861386138615,0.2376237623762376,0.12871287128712872,0.2079207920792079,0.039603960396039604
