update,gameplay_rollouts,trade_rollouts,gameplay_reward,gameplay_reward_avg_logged,trade_reward,trade_reward_avg_logged,trade_propose,trade_accept,trade_reject,trade_counter,trade_skip,gameplay_reward_ma10,trade_reward_ma10,trade_propose_rate,trade_accept_rate,trade_reject_rate,trade_counter_rate,trade_skip_rate
0,158,60,0.08,0.08,-0.0012,-0.0012,16,2,14,9,19,0.08,-0.0012,0.26666666666666666,0.03333333333333333,0.23333333333333334,0.15,0.31666666666666665
1,116,91,0.0104,0.0452,0.0009,-0.0001,27,11,16,15,22,0.045200000000000004,-0.00014999999999999996,0.2967032967032967,0.12087912087912088,0.17582417582417584,0.16483516483516483,0.24175824175824176
2,127,84,0.0039,0.0314,0.0009,0.0002,23,10,13,15,23,0.031433333333333334,0.0002,0.27380952380952384,0.11904761904761904,0.15476190476190477,0.17857142857142858,0.27380952380952384
3,131,80,0.0072,0.0254,0.0003,0.0002,23,11,12,11,23,0.025375,0.000225,0.2875,0.1375,0.15,0.1375,0.2875
4,130,77,0.0038,0.021,0.001,0.0004,22,13,9,8,25,0.021060000000000002,0.00038,0.2857142857142857,0.16883116883116883,0.11688311688311688,0.1038961038961039,0.3246753246753247
5,130,80,0.0289,0.0224,0.001,0.0005,21,10,8,15,26,0.022366666666666663,0.0004833333333333333,0.2625,0.125,0.1,0.1875,0.325
6,123,89,0.0041,0.0198,0.0013,0.0006,31,11,20,13,14,0.01975714285714286,0.0006,0.34831460674157305,0.12359550561797752,0.2247191011235955,0.14606741573033707,0.15730337078651685
7,116,96,0.0037,0.0177,0.0021,0.0008,35,20,15,19,7,0.01775,0.0007875,0.3645833333333333,0.20833333333333334,0.15625,0.19791666666666666,0.07291666666666667
8,119,94,0.0202,0.018,0.0022,0.001,32,21,11,19,11,0.018022222222222224,0.0009444444444444445,0.3404255319148936,0.22340425531914893,0.11702127659574468,0.20212765957446807,0.11702127659574468
9,114,101,0.0128,0.0175,0.0031,0.0012,39,24,13,21,4,0.017499999999999998,0.00116,0.38613861386138615,0.2376237623762376,0.12871287128712872,0.2079207920792079,0.039603960396039604
10,121,95,0.0159,0.0173,0.0031,0.0013,38,30,9,17,1,0.01109,0.00159,0.4,0.3157894736842105,0.09473684210526316,0.17894736842105263,0.010526315789473684
11,124,89,0.0051,0.0163,0.006,0.0017,39,38,2,7,3,0.01056,0.0021,0.43820224719101125,0.42696629213483145,0.02247191011235955,0.07865168539325842,0.033707865168539325
12,121,92,0.0059,0.0155,0.0048,0.002,45,43,1,3,0,0.01076,0.00249,0.4891304347826087,0.4673913043478261,0.010869565217391304,0.03260869565217391,0.0
13,123,89,0.0148,0.0155,0.0052,0.0022,44,45,0,0,0,0.011519999999999999,0.00298,0.4943820224719101,0.5056179775280899,0.0,0.0,0.0
14,127,85,0.001,0.0145,0.0053,0.0024,43,42,0,0,0,0.01124,0.00341,0.5058823529411764,0.49411764705882355,0.0,0.0,0.0
15,135,79,0.0445,0.0164,0.0068,0.0027,39,39,0,0,1,0.0128,0.00399,0.4936708860759494,0.4936708860759494,0.0,0.0,0.012658227848101266
16,126,86,0.0106,0.016,0.0083,0.003,42,43,0,0,1,0.013449999999999998,0.00469,0.4883720930232558,0.5,0.0,0.0,0.011627906976744186
17,127,86,0.0128,0.0159,0.0056,0.0032,43,42,0,0,1,0.014360000000000001,0.005039999999999999,0.5,0.4883720930232558,0.0,0.0,0.011627906976744186
18,137,79,0.0587,0.0181,0.0049,0.0032,38,39,0,0,2,0.018209999999999997,0.00531,0.4810126582278481,0.4936708860759494,0.0,0.0,0.02531645569620253
19,126,85,0.0248,0.0185,0.0034,0.0033,39,39,0,2,5,0.01941,0.005339999999999999,0.4588235294117647,0.4588235294117647,0.0,0.023529411764705882,0.058823529411764705
20,129,83,0.0064,0.0148,0.0051,0.0036,41,40,0,0,2,0.018459999999999997,0.00554,0.4939759036144578,0.4819277108433735,0.0,0.0,0.024096385542168676
21,127,86,0.0024,0.0144,0.0078,0.0039,43,43,0,0,0,0.01819,0.00572,0.5,0.5,0.0,0.0,0.0
22,132,81,0.0227,0.0153,0.0025,0.004,37,37,0,0,7,0.01987,0.00549,0.4567901234567901,0.4567901234567901,0.0,0.0,0.08641975308641975
23,125,88,0.0118,0.0155,0.0035,0.0042,44,43,0,0,1,0.01957,0.00532,0.5,0.48863636363636365,0.0,0.0,0.011363636363636364
24,136,78,0.0186,0.0163,0.0048,0.0043,36,37,0,0,5,0.02133,0.0052699999999999995,0.46153846153846156,0.47435897435897434,0.0,0.0,0.0641025641025641
25,125,86,0.0103,0.0154,0.0032,0.0044,42,42,0,0,2,0.01791,0.0049099999999999994,0.4883720930232558,0.4883720930232558,0.0,0.0,0.023255813953488372
26,127,86,0.0191,0.0161,0.0068,0.0047,43,43,0,0,0,0.01876,0.00476,0.5,0.5,0.0,0.0,0.0
27,136,80,0.052,0.0185,0.0044,0.0048,41,39,0,0,0,0.02268,0.00464,0.5125,0.4875,0.0,0.0,0.0
28,125,86,0.0128,0.0182,0.0059,0.005,41,43,0,0,2,0.018090000000000002,0.004739999999999999,0.47674418604651164,0.5,0.0,0.0,0.023255813953488372
29,129,84,0.0046,0.0177,0.007,0.0052,42,42,0,0,0,0.01607,0.0050999999999999995,0.5,0.5,0.0,0.0,0.0
30,125,87,0.0063,0.0173,0.005,0.0053,42,42,1,0,2,0.01606,0.00509,0.4827586206896552,0.4827586206896552,0.011494252873563218,0.0,0.022988505747126436
31,128,85,0.0227,0.0181,0.0049,0.0053,42,42,0,0,1,0.018090000000000002,0.0048000000000000004,0.49411764705882355,0.49411764705882355,0.0,0.0,0.011764705882352941
32,127,85,0.0229,0.019,0.0069,0.0054,41,39,1,0,4,0.01811,0.00524,0.4823529411764706,0.4588235294117647,0.011764705882352941,0.0,0.047058823529411764
33,134,80,0.0327,0.0199,0.0056,0.0054,37,36,1,1,5,0.020200000000000003,0.00545,0.4625,0.45,0.0125,0.0125,0.0625
34,133,80,0.0069,0.0202,0.0041,0.0053,39,40,0,0,1,0.01903,0.00538,0.4875,0.5,0.0,0.0,0.0125
35,130,84,0.0026,0.0181,0.0063,0.0053,41,40,0,0,3,0.018260000000000002,0.00569,0.4880952380952381,0.47619047619047616,0.0,0.0,0.03571428571428571
36,133,80,0.0175,0.0184,0.0048,0.0051,38,38,0,0,4,0.0181,0.00549,0.475,0.475,0.0,0.0,0.05
37,124,88,0.0139,0.0185,0.0033,0.005,43,44,0,0,1,0.01429,0.00538,0.48863636363636365,0.5,0.0,0.0,0.011363636363636364
38,130,85,0.0139,0.0163,0.0073,0.0051,43,42,0,0,0,0.014400000000000001,0.00552,0.5058823529411764,0.49411764705882355,0.0,0.0,0.0
39,136,78,0.0282,0.0164,0.0064,0.0053,36,37,0,1,4,0.01676,0.0054600000000000004,0.46153846153846156,0.47435897435897434,0.0,0.01282051282051282,0.05128205128205128
40,130,82,-0.0012,0.016,0.0065,0.0054,40,39,0,0,3,0.01601,0.0056099999999999995,0.4878048780487805,0.47560975609756095,0.0,0.0,0.036585365853658534
41,119,92,0.0062,0.0162,0.007,0.0053,45,43,2,2,0,0.014360000000000001,0.00582,0.4891304347826087,0.4673913043478261,0.021739130434782608,0.021739130434782608,0.0
42,125,90,0.003,0.0152,0.0021,0.0053,39,26,13,10,2,0.01237,0.00534,0.43333333333333335,0.28888888888888886,0.14444444444444443,0.1111111111111111,0.022222222222222223
43,123,91,0.0132,0.0153,0.0014,0.0052,36,18,19,13,5,0.01042,0.00492,0.3956043956043956,0.1978021978021978,0.2087912087912088,0.14285714285714285,0.054945054945054944
44,121,96,0.0088,0.0148,0.0026,0.0051,37,23,14,18,4,0.01061,0.00477,0.3854166666666667,0.23958333333333334,0.14583333333333334,0.1875,0.041666666666666664
45,127,88,0.0004,0.0143,0.0051,0.0052,39,28,10,9,2,0.01039,0.00465,0.4431818181818182,0.3181818181818182,0.11363636363636363,0.10227272727272728,0.022727272727272728
46,135,79,0.0497,0.0159,0.0067,0.0052,35,31,4,4,5,0.01361,0.00484,0.4430379746835443,0.3924050632911392,0.05063291139240506,0.05063291139240506,0.06329113924050633
47,122,91,0.0107,0.0138,0.0069,0.0053,39,34,6,7,5,0.01329,0.005200000000000001,0.42857142857142855,0.37362637362637363,0.06593406593406594,0.07692307692307693,0.054945054945054944
48,127,87,0.0222,0.0143,0.0051,0.0053,40,37,2,5,3,0.014119999999999999,0.00498,0.45977011494252873,0.42528735632183906,0.022988505747126436,0.05747126436781609,0.034482758620689655
49,125,88,0.0239,0.0152,0.0046,0.0051,36,33,4,9,6,0.013689999999999999,0.0048000000000000004,0.4090909090909091,0.375,0.045454545454545456,0.10227272727272728,0.06818181818181818
50,135,80,0.0107,0.0155,0.0065,0.0052,39,35,3,0,3,0.01488,0.0048000000000000004,0.4875,0.4375,0.0375,0.0,0.0375
51,127,85,0.0154,0.0151,0.0051,0.0052,41,42,0,0,2,0.0158,0.00461,0.4823529411764706,0.49411764705882355,0.0,0.0,0.023529411764705882
52,127,86,0.0266,0.0153,0.0071,0.0052,43,43,0,0,0,0.01816,0.00511,0.5,0.5,0.0,0.0,0.0
53,142,74,0.04,0.0156,0.0059,0.0052,36,33,1,0,4,0.02084,0.00556,0.4864864864864865,0.44594594594594594,0.013513513513513514,0.0,0.05405405405405406
54,130,82,0.0258,0.0166,0.0057,0.0053,39,39,1,0,3,0.022539999999999998,0.00587,0.47560975609756095,0.47560975609756095,0.012195121951219513,0.0,0.036585365853658534
55,133,81,0.0109,0.017,0.005,0.0053,39,36,3,0,3,0.02359,0.00586,0.48148148148148145,0.4444444444444444,0.037037037037037035,0.0,0.037037037037037035
56,127,85,0.0144,0.0168,0.0043,0.0052,37,36,1,3,8,0.02006,0.00562,0.43529411764705883,0.4235294117647059,0.011764705882352941,0.03529411764705882,0.09411764705882353
57,138,75,0.0389,0.0181,0.0041,0.0053,31,29,3,2,10,0.02288,0.00534,0.41333333333333333,0.38666666666666666,0.04,0.02666666666666667,0.13333333333333333
58,125,85,0.0228,0.0185,0.001,0.0049,25,15,8,15,22,0.02294,0.0049299999999999995,0.29411764705882354,0.17647058823529413,0.09411764705882353,0.17647058823529413,0.25882352941176473
59,137,71,0.008,0.0175,0.0005,0.0047,17,11,8,5,30,0.02135,0.00452,0.23943661971830985,0.15492957746478872,0.11267605633802817,0.07042253521126761,0.4225352112676056
60,128,86,0.0367,0.0194,0.0025,0.0045,32,15,17,11,11,0.02395,0.00412,0.37209302325581395,0.1744186046511628,0.19767441860465115,0.12790697674418605,0.12790697674418605
61,140,73,0.0361,0.0209,0.0011,0.0042,27,14,13,4,15,0.026019999999999998,0.00372,0.3698630136986301,0.1917808219178082,0.1780821917808219,0.0547945205479452,0.2054794520547945
62,121,93,0.0239,0.022,0.0018,0.0041,33,15,18,21,6,0.025750000000000002,0.0031899999999999997,0.3548387096774194,0.16129032258064516,0.1935483870967742,0.22580645161290322,0.06451612903225806
63,98,124,0.0169,0.0221,0.0003,0.0041,33,18,11,58,4,0.02344,0.00263,0.2661290322580645,0.14516129032258066,0.08870967741935484,0.46774193548387094,0.03225806451612903
64,102,117,0.0256,0.023,-0.0002,0.0039,36,24,11,44,2,0.023420000000000003,0.0020399999999999997,0.3076923076923077,0.20512820512820512,0.09401709401709402,0.37606837606837606,0.017094017094017096
65,109,105,0.0118,0.0236,0.0012,0.0037,35,34,3,28,5,0.02351,0.00166,0.3333333333333333,0.3238095238095238,0.02857142857142857,0.26666666666666666,0.047619047619047616
66,119,94,0.0188,0.022,0.0037,0.0036,42,38,2,10,2,0.02395,0.0016,0.44680851063829785,0.40425531914893614,0.02127659574468085,0.10638297872340426,0.02127659574468085
67,123,90,0.0249,0.0227,0.0064,0.0036,43,45,0,2,0,0.02255,0.00183,0.4777777777777778,0.5,0.0,0.022222222222222223,0.0
68,119,93,0.0148,0.0223,0.0047,0.0036,43,41,0,9,0,0.02175,0.0021999999999999997,0.46236559139784944,0.44086021505376344,0.0,0.0967741935483871,0.0
69,92,132,0.0091,0.0216,0.001,0.0034,32,29,0,71,0,0.02186,0.00225,0.24242424242424243,0.2196969696969697,0.0,0.5378787878787878,0.0
70,57,180,0.0166,0.0219,-0.0029,0.0029,21,6,0,153,0,0.01985,0.0017100000000000001,0.11666666666666667,0.03333333333333333,0.0,0.85,0.0
71,38,204,0.0018,0.0212,-0.0049,0.0024,13,4,0,187,0,0.01642,0.0011100000000000003,0.06372549019607843,0.0196078431372549,0.0,0.9166666666666666,0.0
72,61,175,0.0064,0.0202,-0.0031,0.0019,19,6,0,150,0,0.014669999999999999,0.0006200000000000001,0.10857142857142857,0.03428571428571429,0.0,0.8571428571428571,0.0
73,24,225,0.0311,0.0198,-0.0066,0.0013,9,1,0,215,0,0.01609,-6.999999999999983e-05,0.04,0.0044444444444444444,0.0,0.9555555555555556,0.0
74,16,235,-0.0047,0.0182,-0.007,0.0006,5,2,0,228,0,0.013059999999999999,-0.0007499999999999999,0.02127659574468085,0.00851063829787234,0.0,0.9702127659574468,0.0
75,22,227,0.0305,0.0192,-0.0069,0.0,7,2,0,218,0,0.014930000000000002,-0.00156,0.030837004405286344,0.00881057268722467,0.0,0.960352422907489,0.0
76,54,183,0.0226,0.0196,-0.005,-0.0004,17,15,0,149,2,0.015309999999999999,-0.00243,0.09289617486338798,0.08196721311475409,0.0,0.8142076502732241,0.01092896174863388
77,97,126,0.0167,0.0185,0.0005,-0.0006,29,29,2,65,1,0.014489999999999998,-0.0030199999999999997,0.23015873015873015,0.23015873015873015,0.015873015873015872,0.5158730158730159,0.007936507936507936
78,97,126,0.0169,0.0182,0.0017,-0.0006,29,18,4,70,5,0.014700000000000001,-0.00332,0.23015873015873015,0.14285714285714285,0.031746031746031744,0.5555555555555556,0.03968253968253968
79,97,126,0.0228,0.019,-0.0001,-0.0006,32,24,4,64,2,0.01607,-0.0034300000000000003,0.25396825396825395,0.19047619047619047,0.031746031746031744,0.5079365079365079,0.015873015873015872
80,135,84,0.0753,0.0209,0.0014,-0.0006,27,23,5,23,6,0.02194,-0.003,0.32142857142857145,0.27380952380952384,0.05952380952380952,0.27380952380952384,0.07142857142857142
81,114,102,0.0084,0.0195,-0.0002,-0.0007,37,32,4,26,3,0.022600000000000002,-0.00253,0.3627450980392157,0.3137254901960784,0.0392156862745098,0.2549019607843137,0.029411764705882353
82,92,132,0.0268,0.0197,-0.0006,-0.0008,31,30,0,69,2,0.024640000000000002,-0.00228,0.23484848484848486,0.22727272727272727,0.0,0.5227272727272727,0.015151515151515152
83,109,115,0.0581,0.0217,0.0004,-0.0008,32,31,1,51,0,0.027340000000000003,-0.0015799999999999998,0.2782608695652174,0.26956521739130435,0.008695652173913044,0.4434782608695652,0.0
84,98,123,0.0034,0.0206,-0.0009,-0.0009,34,33,0,56,0,0.028149999999999998,-0.00097,0.2764227642276423,0.2682926829268293,0.0,0.45528455284552843,0.0
85,108,107,0.0074,0.0204,0.0013,-0.0009,38,35,1,31,2,0.025840000000000002,-0.00014999999999999993,0.35514018691588783,0.32710280373831774,0.009345794392523364,0.2897196261682243,0.018691588785046728
86,104,115,0.0093,0.0199,0.0011,-0.001,33,32,0,45,5,0.02451,0.00046000000000000007,0.28695652173913044,0.2782608695652174,0.0,0.391304347826087,0.043478260869565216
87,96,126,0.01,0.0192,0.0007,-0.0013,31,28,0,63,4,0.02384,0.0004800000000000001,0.24603174603174602,0.2222222222222222,0.0,0.5,0.031746031746031744
88,95,125,0.0212,0.0195,-0.0003,-0.0015,34,30,0,60,1,0.024270000000000003,0.0002800000000000001,0.272,0.24,0.0,0.48,0.008
89,101,121,0.0139,0.0197,0.0017,-0.0015,35,28,0,58,0,0.02338,0.00046000000000000007,0.2892561983471074,0.23140495867768596,0.0,0.4793388429752066,0.0
90,82,146,0.017,0.0197,0.0002,-0.0013,28,15,0,103,0,0.01755,0.00034,0.1917808219178082,0.10273972602739725,0.0,0.7054794520547946,0.0
91,27,220,0.0028,0.0198,-0.0059,-0.0014,10,1,0,209,0,0.016989999999999998,-0.00022999999999999995,0.045454545454545456,0.004545454545454545,0.0,0.95,0.0
92,3,252,-0.005,0.0192,-0.0079,-0.0016,1,0,0,251,0,0.01381,-0.0009600000000000001,0.003968253968253968,0.0,0.0,0.996031746031746,0.0
93,11,241,0.0027,0.0178,-0.0073,-0.0017,4,2,0,235,0,0.008270000000000001,-0.00173,0.016597510373443983,0.008298755186721992,0.0,0.975103734439834,0.0
94,10,242,0.004,0.0182,-0.0073,-0.0017,4,0,0,238,0,0.00833,-0.00237,0.01652892561983471,0.0,0.0,0.9834710743801653,0.0
95,0,256,0.0,0.0167,-0.008,-0.0017,0,0,0,256,0,0.0075899999999999995,-0.0033,0.0,0.0,0.0,1.0,0.0
96,19,231,0.0288,0.017,-0.0074,-0.0018,6,5,0,220,0,0.00954,-0.004149999999999999,0.025974025974025976,0.021645021645021644,0.0,0.9523809523809523,0.0
97,55,180,0.009,0.0166,-0.0033,-0.002,21,15,0,144,0,0.00944,-0.00455,0.11666666666666667,0.08333333333333333,0.0,0.8,0.0
98,50,189,0.0265,0.0171,-0.0043,-0.0023,17,7,0,165,0,0.009969999999999998,-0.00495,0.08994708994708994,0.037037037037037035,0.0,0.873015873015873,0.0
99,51,189,0.0198,0.017,-0.0052,-0.0026,15,7,0,167,0,0.01056,-0.005640000000000001,0.07936507936507936,0.037037037037037035,0.0,0.8835978835978836,0.0
100,85,138,0.0007,0.0132,-0.0006,-0.0027,32,29,0,77,0,0.008929999999999999,-0.00572,0.2318840579710145,0.21014492753623187,0.0,0.5579710144927537,0.0
101,114,103,0.0039,0.013,0.0027,-0.0025,38,39,0,25,1,0.00904,-0.00486,0.36893203883495146,0.3786407766990291,0.0,0.24271844660194175,0.009708737864077669
102,115,101,0.0049,0.0119,0.0045,-0.0023,41,37,1,22,0,0.01003,-0.0036200000000000004,0.40594059405940597,0.36633663366336633,0.009900990099009901,0.21782178217821782,0.0
103,127,89,0.0396,0.011,0.0039,-0.0021,32,30,3,18,6,0.01372,-0.0025,0.3595505617977528,0.33707865168539325,0.033707865168539325,0.20224719101123595,0.06741573033707865
104,114,99,0.0072,0.0112,0.0008,-0.002,32,23,9,25,10,0.01404,-0.00169,0.32323232323232326,0.23232323232323232,0.09090909090909091,0.25252525252525254,0.10101010101010101
105,118,97,0.0265,0.0121,0.0005,-0.0021,35,33,2,20,7,0.01669,-0.0008399999999999999,0.36082474226804123,0.3402061855670103,0.020618556701030927,0.20618556701030927,0.07216494845360824
106,115,101,0.0075,0.0121,0.004,-0.0019,37,36,0,25,3,0.01456,0.00030000000000000003,0.36633663366336633,0.3564356435643564,0.0,0.24752475247524752,0.0297029702970297
107,107,111,0.0133,0.0122,0.0035,-0.0018,38,39,0,34,0,0.014989999999999998,0.00098,0.34234234234234234,0.35135135135135137,0.0,0.3063063063063063,0.0
108,92,129,0.0089,0.0116,0.0032,-0.0016,36,28,0,65,0,0.01323,0.00173,0.27906976744186046,0.21705426356589147,0.0,0.5038759689922481,0.0
109,29,219,0.0322,0.0125,-0.0067,-0.002,8,2,0,208,1,0.01447,0.0015800000000000002,0.0365296803652968,0.0091324200913242,0.0,0.9497716894977168,0.0045662100456621
110,20,229,-0.003,0.0115,-0.0064,-0.0024,7,0,0,222,0,0.014099999999999998,0.0009999999999999998,0.03056768558951965,0.0,0.0,0.9694323144104804,0.0
111,35,209,0.0148,0.0121,-0.0051,-0.0023,12,1,0,196,0,0.01519,0.00021999999999999987,0.05741626794258373,0.004784688995215311,0.0,0.937799043062201,0.0
112,80,147,0.0095,0.0128,-0.0005,-0.0019,28,17,0,101,1,0.01565,-0.0002800000000000001,0.19047619047619047,0.11564625850340136,0.0,0.6870748299319728,0.006802721088435374
113,108,108,0.0186,0.0136,0.0026,-0.0015,36,38,0,34,0,0.013549999999999998,-0.0004100000000000001,0.3333333333333333,0.35185185185185186,0.0,0.3148148148148148,0.0
114,99,124,-0.0026,0.0133,0.0016,-0.001,33,25,0,65,1,0.012570000000000001,-0.0003300000000000001,0.2661290322580645,0.20161290322580644,0.0,0.5241935483870968,0.008064516129032258
115,102,122,0.0275,0.0147,0.0023,-0.0005,33,26,0,62,1,0.012669999999999997,-0.0001500000000000001,0.27049180327868855,0.21311475409836064,0.0,0.5081967213114754,0.00819672131147541
116,102,120,0.0198,0.0142,0.0013,-0.0001,31,27,0,60,2,0.0139,-0.0004200000000000001,0.25833333333333336,0.225,0.0,0.5,0.016666666666666666
117,84,143,0.025,0.015,-0.0004,0.0001,29,21,0,93,0,0.015069999999999997,-0.0008100000000000002,0.20279720279720279,0.14685314685314685,0.0,0.6503496503496503,0.0
118,122,93,0.0232,0.0149,0.0024,0.0004,30,21,7,23,12,0.016499999999999997,-0.0008900000000000002,0.3225806451612903,0.22580645161290322,0.07526881720430108,0.24731182795698925,0.12903225806451613
