update,gameplay_rollouts,trade_rollouts,gameplay_reward,gameplay_reward_avg_logged,trade_reward,trade_reward_avg_logged,trade_propose,trade_accept,trade_reject,trade_counter,trade_skip,gameplay_policy_loss,gameplay_value_loss,gameplay_entropy,gameplay_entropy_avg_logged,trade_policy_loss,trade_value_loss,trade_entropy,trade_entropy_avg_logged,tom_loss,total_loss,entropy_coef,gamma,gameplay_reward_ma10,trade_reward_ma10,gameplay_entropy_ma10,trade_entropy_ma10,gameplay_value_loss_ma10,trade_value_loss_ma10,gameplay_policy_loss_ma10,trade_policy_loss_ma10,tom_loss_ma10,total_loss_ma10,trade_propose_rate,trade_accept_rate,trade_reject_rate,trade_counter_rate,trade_skip_rate
0,565,797,0.048,0.048,0.0056,0.0056,156,65,52,509,15,-0.0068,1.3036,0.9406,0.9406,0.0229,0.0411,2.5037,2.5037,1.608354,0.3824,0.0012,0.94,0.048,0.0056,0.9406,2.5037,1.3036,0.0411,-0.0068,0.0229,1.608354,0.3824,0.19573400250941028,0.08155583437892096,0.06524466750313676,0.6386449184441656,0.018820577164366373
1,505,847,0.0091,0.0285,0.0059,0.0058,176,67,60,535,9,1.2179,0.659,0.6617,0.8011,-0.7296,0.5735,2.5792,2.5415,1.609433,0.8271,0.0012,0.94028,0.02855,0.00575,0.80115,2.54145,0.9813000000000001,0.3073,0.60555,-0.35335,1.6088935,0.60475,0.2077922077922078,0.07910271546635184,0.07083825265643448,0.6316410861865407,0.010625737898465172
2,515,835,0.0111,0.0227,0.006,0.0059,178,61,62,525,9,1.0734,0.4507,0.4993,0.7005,-0.6796,0.5871,2.6315,2.5715,1.609183,0.6842,0.0012,0.94055,0.02273333333333333,0.005833333333333334,0.7005333333333333,2.5714666666666663,0.8044333333333333,0.4005666666666667,0.7615,-0.46209999999999996,1.6089900000000001,0.6312333333333333,0.21317365269461078,0.07305389221556886,0.07425149700598803,0.6287425149700598,0.010778443113772455
3,524,820,0.0176,0.0214,0.0061,0.0059,178,66,65,500,11,0.7986,0.5953,0.6554,0.6892,-0.5084,0.6059,2.6336,2.587,1.610595,0.6217,0.0012,0.94083,0.02145,0.0059,0.6892499999999999,2.5869999999999997,0.7521500000000001,0.45189999999999997,0.770775,-0.47367499999999996,1.60939125,0.62885,0.21707317073170732,0.08048780487804878,0.07926829268292683,0.6097560975609756,0.013414634146341463
4,538,813,0.0105,0.0193,0.0064,0.006,179,78,66,484,6,-0.5015,0.7303,0.6792,0.6872,0.3105,0.3652,2.5802,2.5856,1.610713,0.1145,0.0012,0.94111,0.01926,0.006,0.68724,2.58564,0.74778,0.43456,0.51632,-0.31684,1.6096556,0.52598,0.2201722017220172,0.0959409594095941,0.08118081180811808,0.5953259532595326,0.007380073800738007
5,543,808,0.024,0.02,0.0062,0.006,172,53,60,509,14,-0.382,0.6601,0.7303,0.6944,0.2356,0.4361,2.6087,2.5895,1.609315,0.1594,0.0012,0.94138,0.020050000000000002,0.006033333333333334,0.6944166666666667,2.5894833333333334,0.7331666666666666,0.4348166666666667,0.36660000000000004,-0.22476666666666667,1.6095988333333333,0.4648833333333333,0.21287128712871287,0.0655940594059406,0.07425742574257425,0.629950495049505,0.017326732673267328
6,541,815,0.0135,0.0191,0.0066,0.0061,166,75,46,513,15,-0.9466,0.6252,0.7896,0.708,0.6364,0.418,2.6222,2.5942,1.608712,-0.0173,0.0012,0.94166,0.019114285714285716,0.006114285714285714,0.7080142857142857,2.5941571428571426,0.7177428571428572,0.4324142857142857,0.17900000000000002,-0.10174285714285713,1.6094721428571428,0.396,0.20368098159509201,0.09202453987730061,0.05644171779141104,0.6294478527607362,0.018404907975460124
7,546,802,0.0139,0.0185,0.0062,0.0061,165,60,61,496,20,-0.7792,0.7328,0.7997,0.7195,0.5339,0.4353,2.6276,2.5983,1.608158,0.079,0.0012,0.94193,0.0184625,0.006125,0.719475,2.5983375,0.719625,0.432775,0.059225,-0.022287499999999988,1.609307875,0.356375,0.2057356608478803,0.07481296758104738,0.07605985037406483,0.6184538653366584,0.02493765586034913
8,542,815,0.0171,0.0183,0.0063,0.0061,166,52,71,511,15,-0.3138,0.6364,0.7879,0.7271,0.1706,0.4571,2.6787,2.6073,1.608031,0.1628,0.0012,0.94221,0.01831111111111111,0.0061444444444444446,0.7270777777777777,2.6072666666666664,0.7103777777777778,0.43547777777777774,0.017777777777777774,-0.0008555555555555446,1.6091659999999999,0.3348666666666667,0.20368098159509201,0.0638036809815951,0.08711656441717791,0.6269938650306749,0.018404907975460124
9,581,774,0.0359,0.0201,0.0065,0.0062,162,44,55,497,16,-0.4648,0.7084,0.8856,0.7429,0.4024,0.2613,2.6656,2.6131,1.609483,0.213,0.0012,0.94249,0.020069999999999998,0.00618,0.74293,2.6131,0.71018,0.41806,-0.03048,0.039470000000000005,1.6091977,0.32267999999999997,0.20930232558139536,0.056847545219638244,0.0710594315245478,0.6421188630490956,0.020671834625323
10,528,832,0.0254,0.0206,0.0066,0.0062,160,57,57,546,12,-0.4667,0.5305,0.8899,0.7563,0.3175,0.4519,2.5908,2.6111,1.609695,0.1297,0.0012,0.94276,0.01781,0.006279999999999999,0.7378600000000001,2.62181,0.6328699999999999,0.45914,-0.07647000000000001,0.06893,1.6093318,0.29741,0.19230769230769232,0.06850961538461539,0.06850961538461539,0.65625,0.014423076923076924
