Parsed updates: 200
Update range: 0 to 199
gameplay_reward mean: 0.023197
gameplay_reward min: 0.005200
gameplay_reward max: 0.048000
trade_reward mean: 0.020440
trade_reward min: 0.005600
trade_reward max: 0.027700
gameplay_entropy mean: 0.678764
gameplay_entropy min: 0.452400
gameplay_entropy max: 0.962300
trade_entropy mean: 1.949232
trade_entropy min: 1.071000
trade_entropy max: 2.715700
gameplay_value_loss mean: 0.551428
gameplay_value_loss min: 0.393400
gameplay_value_loss max: 1.303600
trade_value_loss mean: 0.417536
trade_value_loss min: 0.041100
trade_value_loss max: 0.654200
tom_loss mean: 1.604802
tom_loss min: 1.558160
tom_loss max: 1.615119
total_loss mean: 0.300130
total_loss min: -0.165500
total_loss max: 0.827100
